,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
111,0.2097016175587972,0.05290472570366384,0.017616748809814453,0.0026160325666423757,0.001,3,40,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 40}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
103,0.1022346019744873,0.018899497316647296,0.01666911443074544,0.001293250918525341,0.001,2,10,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 10}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
105,0.23304414749145508,0.04842356044329858,0.018632968266805012,0.0021074378063873395,0.001,2,40,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 40}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
104,0.11827389399210612,0.038971461576108056,0.01571043332417806,0.0009347945521280851,0.001,2,20,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
102,0.10722978909810384,0.038582023300959674,0.03494739532470703,0.030404804327045298,0.001,2,5,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
99,0.11908674240112305,0.011059929724600483,0.01767579714457194,0.004129256808068385,0.001,1,40,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 40}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
98,0.12093194325764973,0.04103873071039058,0.034149726231892906,0.018116959425028258,0.001,1,20,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
97,0.08868090311686198,0.023753548057003204,0.01412510871887207,0.003056380085669571,0.001,1,10,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 10}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
108,0.09992837905883789,0.04558273731366925,0.01647329330444336,0.0004205979898977272,0.001,3,5,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
114,0.12632346153259277,0.03867067781899999,0.01745891571044922,0.0004069236411335517,0.001,4,5,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
128,0.19677448272705078,0.10606587757293567,0.015719254811604817,0.0034266856368369045,0.001,10,20,"{'learning_rate': 0.001, 'max_depth': 10, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
116,0.22785162925720215,0.03984383639293408,0.03323443730672201,0.020236837060461626,0.001,4,20,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 20}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
144,0.11941591898600261,0.04341562437358052,0.028606653213500977,0.026413429419636234,0.01,1,5,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
96,0.05975921948750814,0.0013600784273302732,0.01430058479309082,0.0016877202763468627,0.001,1,5,"{'learning_rate': 0.001, 'max_depth': 1, 'n_estimators': 5}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
141,0.17411541938781738,0.005010516350656261,0.02088507016499837,0.0032207229933585942,0.001,50,40,"{'learning_rate': 0.001, 'max_depth': 50, 'n_estimators': 40}",0.5219197046608214,0.5216989843028624,0.5216989843028624,0.5217725577555155,0.00010404857457246279,64,0.5216989843028624,0.5218093699515347,0.5218093699515347,0.5217725747353106,5.203629381456012e-05
