,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
232,2.532035986582438,0.022899134960044643,0.24443928400675455,0.01170744778208632,150,30,0.01,0.001,"{'batch_size': 150, 'epochs': 30, 'kernel': 0.01, 'learning_rate': 0.001}",0.6512605042016807,0.6582278481012658,0.6582278481012658,0.6559054001347374,0.0032844374121702266,51,0.6624472573839663,0.6378947368421053,0.6631578947368421,0.6544999629876379,0.011745251604230952
104,3.8428868452707925,0.565122704389546,0.40340908368428546,0.027962692600948462,100,20,0.01,0.001,"{'batch_size': 100, 'epochs': 20, 'kernel': 0.01, 'learning_rate': 0.001}",0.6512605042016807,0.6497890295358649,0.6582278481012658,0.6530924606129371,0.0036806215883096165,52,0.6582278481012658,0.6357894736842106,0.6631578947368421,0.6523917388407727,0.011910856286146111
107,3.7683284282684326,0.11035453657125714,0.413440465927124,0.036258594771300175,100,20,0.01,1,"{'batch_size': 100, 'epochs': 20, 'kernel': 0.01, 'learning_rate': 1}",0.6176470588235294,0.70042194092827,0.620253164556962,0.6461073881029205,0.03842092253999742,53,0.6181434599156118,0.7242105263157895,0.6168421052631579,0.6530653638315197,0.0503100320656343
163,3.9636712869008384,0.5871444233422003,0.30991236368815106,0.04132140158510444,100,50,0.0001,1,"{'batch_size': 100, 'epochs': 50, 'kernel': 0.0001, 'learning_rate': 1}",0.6848739495798319,0.6286919831223629,0.6244725738396625,0.6460128355139524,0.02753289539810768,54,0.7194092827004219,0.631578947368421,0.6189473684210526,0.6566451994966318,0.04467950165333176
192,3.2348751227060952,0.39562986777227394,0.35913809140523273,0.08349532424556415,150,20,0.0001,0.001,"{'batch_size': 150, 'epochs': 20, 'kernel': 0.0001, 'learning_rate': 0.001}",0.6386554621848739,0.6455696202531646,0.6497890295358649,0.6446713706579678,0.0045894240554574086,55,0.6518987341772152,0.6336842105263157,0.6589473684210526,0.6481767710415278,0.010644139041155099
131,2.9643329779307046,0.18021397034969877,0.2580121358235677,0.02539291960822545,100,30,0.0001,1,"{'batch_size': 100, 'epochs': 30, 'kernel': 0.0001, 'learning_rate': 1}",0.680672268907563,0.6286919831223629,0.6244725738396625,0.6446122752898628,0.025556384831129406,56,0.7151898734177216,0.631578947368421,0.6189473684210526,0.6552387297357317,0.04270436291730891
196,2.5065255959828696,0.08736052653494969,0.2638593514760335,0.014774844471246277,150,20,0.001,0.001,"{'batch_size': 150, 'epochs': 20, 'kernel': 0.001, 'learning_rate': 0.001}",0.634453781512605,0.6455696202531646,0.6497890295358649,0.6432708104338781,0.006468170937890657,57,0.6497890295358649,0.631578947368421,0.6589473684210526,0.6467717817751129,0.011374985883239729
139,2.9053489367167153,0.22923540898236172,0.2684641679128011,0.04311826910247203,100,30,0.01,1,"{'batch_size': 100, 'epochs': 30, 'kernel': 0.01, 'learning_rate': 1}",0.6176470588235294,0.6835443037974683,0.620253164556962,0.64048150905932,0.030468575776455148,58,0.6181434599156118,0.6989473684210527,0.6168421052631579,0.6446443111999408,0.03840173519215313
99,3.1782251993815103,1.0263348069437295,0.2883206208546956,0.03963922554142819,100,20,0.0001,1,"{'batch_size': 100, 'epochs': 20, 'kernel': 0.0001, 'learning_rate': 1}",0.6638655462184874,0.6286919831223629,0.6244725738396625,0.6390100343935042,0.017659713186329723,59,0.689873417721519,0.6273684210526316,0.6189473684210526,0.6453964023984011,0.031637342923572745
200,2.3903776009877524,0.11255109466090649,0.25855517387390137,0.055480183076301044,150,20,0.01,0.001,"{'batch_size': 150, 'epochs': 20, 'kernel': 0.01, 'learning_rate': 0.001}",0.6302521008403361,0.6329113924050633,0.6329113924050633,0.6320249618834876,0.0012536020657138668,60,0.6371308016877637,0.6294736842105263,0.64,0.6355348286327634,0.0044430603956542025
193,2.623290459314982,0.06336426870559263,0.2573587894439697,0.0141207326559723,150,20,0.0001,2,"{'batch_size': 150, 'epochs': 20, 'kernel': 0.0001, 'learning_rate': 2}",0.6428571428571429,0.6160337552742616,0.6244725738396625,0.6277878239903556,0.011198711027810917,61,0.6413502109704642,0.6210526315789474,0.6189473684210526,0.6271167369901547,0.01010121673866098
225,2.634000062942505,0.1797302564887966,0.24220061302185059,0.01478842513953216,150,30,0.0001,2,"{'batch_size': 150, 'epochs': 30, 'kernel': 0.0001, 'learning_rate': 2}",0.6428571428571429,0.6160337552742616,0.6244725738396625,0.6277878239903556,0.011198711027810917,61,0.6413502109704642,0.6210526315789474,0.6189473684210526,0.6271167369901547,0.01010121673866098
257,2.913522164026896,0.0971500298135544,0.2535419464111328,0.038813278287322055,150,50,0.0001,2,"{'batch_size': 150, 'epochs': 50, 'kernel': 0.0001, 'learning_rate': 2}",0.6428571428571429,0.6160337552742616,0.6244725738396625,0.6277878239903556,0.011198711027810917,61,0.6413502109704642,0.6189473684210526,0.6189473684210526,0.6264149826041897,0.010560801256362311
